id,shift_id,employee_id,approval_status,approved_at,notes
838,838,100,approved,2026-01-15T22:56:40.547Z,Approved by manager
839,839,101,approved,2026-01-14T03:47:42.983Z,Approved by manager
840,840,102,approved,2026-01-13T14:45:00.653Z,
841,841,103,approved,2026-01-12T04:22:44.769Z,Approved by manager
842,842,104,approved,2026-01-13T10:24:16.048Z,Approved by manager
843,843,105,approved,2026-01-12T19:03:23.709Z,
844,844,106,approved,2026-01-16T10:38:18.540Z,Standard approval
845,845,107,approved,2026-01-16T00:34:16.253Z,Approved by manager
846,846,108,pending,,
847,847,7,approved,2026-01-16T08:04:22.505Z,Late arrival noted
848,848,8,approved,2026-01-16T10:43:05.352Z,Standard approval
849,849,9,approved,2026-01-12T19:05:21.441Z,Approved by manager
850,850,10,approved,2026-01-12T00:10:48.706Z,
851,851,11,approved,2026-01-15T23:45:10.732Z,Approved by manager
852,852,14,pending,,
853,853,16,approved,2026-01-12T11:19:45.657Z,Standard approval
854,854,17,approved,2026-01-15T17:57:40.747Z,
855,855,18,approved,2026-01-15T05:19:49.547Z,Late arrival noted
856,856,20,pending,,
857,857,21,approved,2026-01-16T17:03:23.496Z,Excellent performance
858,858,22,approved,2026-01-13T05:47:49.904Z,Late arrival noted
859,859,23,approved,2026-01-14T15:55:25.748Z,
860,860,24,pending,,
861,861,25,approved,2026-01-14T02:45:10.220Z,Standard approval
862,862,26,rejected,2026-01-15T14:26:06.057Z,Did not complete full shift
863,863,27,approved,2026-01-14T22:48:46.902Z,Approved by manager
864,864,28,approved,2026-01-12T07:30:53.484Z,
865,865,29,approved,2026-01-15T06:42:51.654Z,Approved by manager
866,866,30,approved,2026-01-11T19:52:00.410Z,Standard approval
867,867,31,approved,2026-01-12T15:03:48.670Z,
868,868,32,approved,2026-01-14T02:11:00.865Z,Standard approval
869,869,33,approved,2026-01-14T21:28:52.761Z,
870,870,34,approved,2026-01-16T18:13:04.371Z,
871,871,35,approved,2026-01-12T01:47:25.702Z,
872,872,36,pending,,
873,873,37,approved,2026-01-15T12:06:16.834Z,
874,874,38,approved,2026-01-15T14:44:31.105Z,Excellent performance
875,875,39,approved,2026-01-12T07:46:23.597Z,Approved by manager
876,876,40,rejected,2026-01-13T20:18:25.014Z,Did not complete full shift
877,877,41,pending,,
878,878,42,pending,,
879,879,43,rejected,2026-01-13T23:19:52.401Z,Did not complete full shift
880,880,44,approved,2026-01-16T07:08:12.815Z,Late arrival noted
881,881,45,approved,2026-01-14T11:03:45.736Z,Late arrival noted
882,882,46,approved,2026-01-13T01:25:42.546Z,Excellent performance
883,883,47,approved,2026-01-14T18:16:40.259Z,Standard approval
884,884,48,approved,2026-01-14T11:38:50.955Z,Late arrival noted
885,885,49,approved,2026-01-16T08:34:02.246Z,Excellent performance
886,886,50,pending,,
887,887,51,approved,2026-01-12T12:39:32.925Z,
888,888,52,approved,2026-01-14T18:51:35.346Z,
889,889,53,approved,2026-01-14T19:15:53.895Z,Approved by manager
890,890,55,pending,,
891,891,56,approved,2026-01-15T02:55:20.290Z,Excellent performance
892,892,57,approved,2026-01-16T18:20:53.457Z,
893,893,58,approved,2026-01-11T22:57:32.502Z,
894,894,59,approved,2026-01-11T22:41:41.853Z,Excellent performance
895,895,60,approved,2026-01-12T22:31:09.364Z,Excellent performance
896,896,61,rejected,2026-01-15T01:54:01.161Z,Did not complete full shift
897,897,62,approved,2026-01-11T21:37:02.393Z,Late arrival noted
898,898,64,approved,2026-01-14T00:53:26.070Z,Excellent performance
899,899,65,approved,2026-01-13T14:35:17.975Z,Excellent performance
900,900,66,pending,,
901,901,67,pending,,
902,902,68,pending,,
903,903,69,approved,2026-01-13T04:42:30.655Z,Late arrival noted
904,904,70,approved,2026-01-16T03:27:21.550Z,
905,905,71,approved,2026-01-12T02:18:16.066Z,Excellent performance
906,906,72,approved,2026-01-12T20:21:05.871Z,Approved by manager
907,907,73,approved,2026-01-13T17:51:42.013Z,Standard approval
908,908,74,pending,,
909,909,75,approved,2026-01-15T23:10:02.203Z,Late arrival noted
910,910,77,approved,2026-01-13T14:16:46.095Z,
911,911,78,approved,2026-01-15T23:06:53.605Z,Late arrival noted
912,912,79,approved,2026-01-13T17:01:44.008Z,
913,913,80,pending,,
914,914,81,approved,2026-01-14T15:02:23.211Z,Approved by manager
915,915,82,approved,2026-01-12T18:26:01.487Z,
916,916,83,approved,2026-01-13T05:56:10.016Z,
917,917,84,approved,2026-01-12T08:39:24.036Z,Approved by manager
918,918,85,approved,2026-01-13T02:52:23.456Z,Approved by manager
919,919,86,approved,2026-01-16T01:33:34.103Z,Approved by manager
920,920,87,approved,2026-01-16T14:45:54.841Z,Approved by manager
921,921,89,approved,2026-01-15T02:48:06.316Z,
922,922,90,approved,2026-01-13T15:52:21.083Z,Approved by manager
923,923,91,approved,2026-01-14T14:21:43.873Z,Standard approval
924,924,92,approved,2026-01-16T08:24:20.109Z,Late arrival noted
925,925,93,approved,2026-01-14T21:19:50.587Z,Standard approval
926,926,94,approved,2026-01-11T21:36:22.764Z,
927,927,95,approved,2026-01-13T04:30:24.948Z,
928,928,96,rejected,2026-01-14T12:54:18.354Z,Did not complete full shift
929,929,97,approved,2026-01-16T05:30:19.374Z,Standard approval
930,930,98,approved,2026-01-16T11:11:46.894Z,Standard approval
931,931,99,approved,2026-01-13T20:09:45.081Z,
932,932,100,pending,,
933,933,101,approved,2026-01-13T08:17:14.603Z,Excellent performance
934,934,102,approved,2026-01-15T08:37:00.988Z,Approved by manager
935,935,103,approved,2026-01-15T21:42:16.517Z,Approved by manager
936,936,104,pending,,
937,937,105,pending,,
938,938,106,pending,,
939,939,107,approved,2026-01-15T19:12:00.326Z,
940,940,108,approved,2026-01-15T12:27:03.142Z,Standard approval
941,941,7,approved,2026-01-12T11:08:24.443Z,Standard approval
942,942,8,approved,2026-01-15T08:42:53.724Z,
943,943,9,pending,,
944,944,10,approved,2026-01-14T01:05:16.062Z,Excellent performance
945,945,11,approved,2026-01-15T05:11:43.601Z,Approved by manager
946,946,14,approved,2026-01-14T15:57:18.685Z,Excellent performance
947,947,16,approved,2026-01-14T08:25:17.948Z,
948,948,17,pending,,
949,949,18,approved,2026-01-13T22:49:02.176Z,Excellent performance
950,950,20,approved,2026-01-15T18:59:17.268Z,Approved by manager
951,951,21,approved,2026-01-13T12:38:50.486Z,Approved by manager
952,952,22,rejected,2026-01-15T00:45:44.040Z,Did not complete full shift
953,953,23,approved,2026-01-16T15:31:15.069Z,Excellent performance
954,954,24,rejected,2026-01-16T02:19:17.080Z,Did not complete full shift
955,955,25,rejected,2026-01-15T06:32:55.199Z,Did not complete full shift
956,956,26,approved,2026-01-13T12:44:22.178Z,Approved by manager
957,957,27,approved,2026-01-13T13:29:48.796Z,
958,958,28,rejected,2026-01-15T01:28:10.984Z,Did not complete full shift
959,959,29,approved,2026-01-14T08:49:45.073Z,Late arrival noted
960,960,30,approved,2026-01-14T10:21:28.275Z,Excellent performance
961,961,31,approved,2026-01-14T05:00:24.558Z,Late arrival noted
962,962,32,pending,,
963,963,33,approved,2026-01-15T13:55:48.257Z,Standard approval
964,964,34,approved,2026-01-14T15:40:57.890Z,Excellent performance
965,965,35,approved,2026-01-11T22:29:02.263Z,
966,966,36,approved,2026-01-13T19:30:03.243Z,Late arrival noted
967,967,37,approved,2026-01-16T08:54:55.495Z,Late arrival noted
968,968,38,rejected,2026-01-14T12:13:15.981Z,Did not complete full shift
969,969,39,approved,2026-01-15T19:26:57.660Z,Standard approval
970,970,40,rejected,2026-01-13T19:46:29.186Z,Did not complete full shift
971,971,41,approved,2026-01-13T00:55:37.792Z,Standard approval
972,972,42,approved,2026-01-12T06:12:33.620Z,Approved by manager
973,973,43,approved,2026-01-15T02:51:31.955Z,
974,974,44,approved,2026-01-15T16:29:06.641Z,
975,975,45,pending,,
976,976,46,approved,2026-01-15T15:17:49.699Z,
977,977,47,approved,2026-01-13T19:41:03.454Z,
978,978,48,approved,2026-01-12T01:57:33.801Z,Late arrival noted
979,979,49,approved,2026-01-16T16:29:58.742Z,
980,980,50,approved,2026-01-15T10:12:25.336Z,Standard approval
981,981,51,approved,2026-01-13T13:45:03.573Z,
982,982,52,pending,,
983,983,53,approved,2026-01-11T23:39:06.202Z,
984,984,55,rejected,2026-01-14T08:09:43.034Z,Did not complete full shift
985,985,56,approved,2026-01-15T20:15:13.982Z,
986,986,57,approved,2026-01-15T12:30:13.473Z,Standard approval
987,987,58,approved,2026-01-13T15:13:39.845Z,Approved by manager
988,988,59,approved,2026-01-12T16:09:34.544Z,
989,989,60,approved,2026-01-14T08:48:00.842Z,
990,990,61,approved,2026-01-12T15:59:34.467Z,
991,991,62,approved,2026-01-12T22:37:02.404Z,Late arrival noted
992,992,64,rejected,2026-01-15T08:47:25.946Z,Did not complete full shift
993,993,65,approved,2026-01-15T10:48:03.227Z,Excellent performance
994,994,66,pending,,
995,995,67,approved,2026-01-13T19:36:40.983Z,Excellent performance
996,996,68,approved,2026-01-12T22:36:23.064Z,Late arrival noted
997,997,69,approved,2026-01-15T05:03:08.664Z,Late arrival noted
998,998,70,rejected,2026-01-14T11:03:28.743Z,Did not complete full shift
999,999,71,rejected,2026-01-16T07:15:33.794Z,Did not complete full shift
1000,1000,72,approved,2026-01-12T05:43:23.766Z,
1001,1001,73,approved,2026-01-14T13:08:02.276Z,
1002,1002,74,approved,2026-01-13T14:50:59.808Z,
1003,1003,75,approved,2026-01-13T21:22:00.185Z,Excellent performance
1004,1004,77,approved,2026-01-16T00:53:07.135Z,Standard approval
1005,1005,78,approved,2026-01-16T03:26:40.431Z,Excellent performance
1006,1006,79,approved,2026-01-11T21:48:49.605Z,Approved by manager
1007,1007,80,approved,2026-01-14T01:54:47.050Z,Standard approval
1008,1008,81,approved,2026-01-16T08:57:23.142Z,Excellent performance
1009,1009,82,approved,2026-01-14T04:51:39.355Z,
1010,1010,83,pending,,
1011,1011,84,approved,2026-01-15T10:41:23.754Z,Late arrival noted
1012,1012,85,approved,2026-01-15T18:00:49.887Z,Excellent performance
1013,1013,86,approved,2026-01-12T03:39:31.087Z,Excellent performance
1014,1014,87,approved,2026-01-11T19:57:44.009Z,Approved by manager
1015,1015,89,approved,2026-01-15T08:36:03.517Z,Standard approval
1016,1016,90,approved,2026-01-14T01:38:39.086Z,
1017,1017,91,approved,2026-01-14T06:02:24.477Z,Approved by manager
1018,1018,92,approved,2026-01-14T20:10:37.104Z,
1019,1019,93,approved,2026-01-13T09:43:19.934Z,Approved by manager
1020,1020,94,approved,2026-01-13T07:45:34.268Z,Standard approval
1021,1021,95,approved,2026-01-12T12:55:14.136Z,Excellent performance
1022,1022,96,approved,2026-01-13T04:33:57.456Z,Standard approval
1023,1023,97,approved,2026-01-12T10:32:50.813Z,
1024,1024,98,approved,2026-01-16T14:44:47.723Z,Standard approval
1025,1025,99,pending,,
1026,1026,100,approved,2026-01-14T18:47:54.418Z,
1027,1027,101,approved,2026-01-16T09:26:27.954Z,Approved by manager
1028,1028,102,approved,2026-01-11T22:14:30.708Z,
1029,1029,103,approved,2026-01-14T10:16:05.009Z,
1030,1030,104,approved,2026-01-16T07:34:01.654Z,Late arrival noted
1031,1031,105,approved,2026-01-15T03:18:33.268Z,Standard approval
1032,1032,106,approved,2026-01-11T23:17:29.961Z,Standard approval
1033,1033,107,approved,2026-01-14T14:43:01.206Z,
1034,1034,108,approved,2026-01-12T19:53:15.166Z,Approved by manager
1035,1035,7,approved,2026-01-15T17:21:01.133Z,Late arrival noted
1036,1036,8,approved,2026-01-12T15:23:33.248Z,Approved by manager
1037,1037,9,approved,2026-01-15T01:01:33.441Z,Standard approval
1038,1038,10,pending,,
1039,1039,11,approved,2026-01-16T13:21:09.893Z,Late arrival noted
1040,1040,14,pending,,
1041,1041,16,approved,2026-01-12T10:57:28.852Z,Late arrival noted
1042,1042,17,approved,2026-01-12T17:22:35.728Z,
1043,1043,18,approved,2026-01-16T04:44:21.445Z,Late arrival noted
1044,1044,20,approved,2026-01-13T23:11:38.068Z,
1045,1045,21,approved,2026-01-14T07:00:22.250Z,Late arrival noted
1046,1046,22,approved,2026-01-16T03:03:30.213Z,Late arrival noted
1047,1047,23,approved,2026-01-11T22:06:00.039Z,
1048,1048,24,rejected,2026-01-14T18:08:21.573Z,Did not complete full shift
1049,1049,25,pending,,
1050,1050,26,approved,2026-01-14T22:54:31.174Z,Standard approval
1051,1051,27,pending,,
1052,1052,28,pending,,
1053,1053,29,approved,2026-01-14T01:42:03.560Z,Excellent performance
1054,1054,30,approved,2026-01-16T04:11:16.310Z,
1055,1055,31,approved,2026-01-12T01:43:21.360Z,Approved by manager
1056,1056,32,pending,,
1057,1057,33,approved,2026-01-13T18:47:16.959Z,Late arrival noted
1058,1058,34,approved,2026-01-12T00:42:01.874Z,Late arrival noted
1059,1059,35,approved,2026-01-12T18:18:22.868Z,
1060,1060,36,approved,2026-01-13T16:27:48.052Z,Approved by manager
1061,1061,37,approved,2026-01-14T07:08:10.585Z,Excellent performance
1062,1062,38,approved,2026-01-14T12:18:58.224Z,
1063,1063,39,approved,2026-01-14T10:53:25.857Z,
1064,1064,40,approved,2026-01-16T04:30:55.166Z,Late arrival noted
1065,1065,41,pending,,
1066,1066,42,approved,2026-01-13T09:48:02.224Z,Excellent performance
1067,1067,43,approved,2026-01-15T20:25:52.184Z,
1068,1068,44,approved,2026-01-16T05:47:22.306Z,Late arrival noted
1069,1069,45,approved,2026-01-16T10:43:04.760Z,
1070,1070,46,approved,2026-01-15T03:37:38.387Z,Excellent performance
1071,1071,47,approved,2026-01-13T10:22:47.285Z,Excellent performance
1072,1072,48,approved,2026-01-14T15:27:22.690Z,Excellent performance
1073,1073,49,rejected,2026-01-16T13:52:36.935Z,Did not complete full shift
1074,1074,50,approved,2026-01-14T03:44:19.402Z,Standard approval
1075,1075,51,pending,,
1076,1076,52,pending,,
1077,1077,53,approved,2026-01-16T05:03:41.592Z,Excellent performance
1078,1078,55,approved,2026-01-13T15:45:25.685Z,
1079,1079,56,approved,2026-01-14T04:06:36.741Z,Standard approval
1080,1080,57,approved,2026-01-12T02:06:52.514Z,
1081,1081,58,approved,2026-01-14T17:20:29.641Z,Late arrival noted
1082,1082,59,approved,2026-01-16T04:33:40.449Z,Late arrival noted
1083,1083,60,approved,2026-01-11T21:00:22.846Z,Standard approval
1084,1084,61,approved,2026-01-16T07:25:40.687Z,
1085,1085,62,approved,2026-01-12T14:05:38.712Z,
1086,1086,64,approved,2026-01-13T02:46:33.522Z,Late arrival noted
1087,1087,65,pending,,
1088,1088,66,approved,2026-01-12T06:49:40.615Z,Standard approval
1089,1089,67,approved,2026-01-14T00:42:31.036Z,Late arrival noted
1090,1090,68,approved,2026-01-12T10:50:16.694Z,Excellent performance
1091,1091,69,approved,2026-01-15T11:55:26.188Z,
1092,1092,70,rejected,2026-01-16T00:48:54.852Z,Did not complete full shift
1093,1093,71,approved,2026-01-11T21:05:33.438Z,
1094,1094,72,approved,2026-01-11T23:00:46.333Z,Late arrival noted
1095,1095,73,approved,2026-01-13T05:21:23.880Z,
1096,1096,74,approved,2026-01-16T00:45:30.442Z,Excellent performance
1097,1097,75,approved,2026-01-16T06:03:09.870Z,
1098,1098,77,approved,2026-01-14T14:24:45.456Z,
1099,1099,78,rejected,2026-01-16T05:22:39.322Z,Did not complete full shift
1100,1100,79,approved,2026-01-14T03:38:42.694Z,Excellent performance
1101,1101,80,approved,2026-01-13T06:28:16.787Z,
1102,1102,81,approved,2026-01-15T10:29:37.610Z,Late arrival noted
1103,1103,82,approved,2026-01-15T05:59:15.212Z,Late arrival noted
1104,1104,83,approved,2026-01-12T03:07:58.996Z,Approved by manager
1105,1105,84,approved,2026-01-12T21:41:17.321Z,Standard approval
1106,1106,85,approved,2026-01-14T12:07:55.719Z,Excellent performance
1107,1107,86,pending,,
1108,1108,87,approved,2026-01-13T09:59:45.414Z,Late arrival noted
1109,1109,89,approved,2026-01-14T12:05:37.119Z,Standard approval
1110,1110,90,approved,2026-01-15T22:33:29.469Z,Standard approval
1111,1111,91,approved,2026-01-12T03:04:49.446Z,Late arrival noted
1112,1112,92,approved,2026-01-13T02:26:24.909Z,
1113,1113,93,approved,2026-01-15T11:42:50.309Z,Excellent performance
1114,1114,94,approved,2026-01-13T23:25:41.837Z,
1115,1115,95,approved,2026-01-12T00:47:16.979Z,Excellent performance
1116,1116,96,approved,2026-01-11T19:01:08.305Z,Late arrival noted
1117,1117,97,approved,2026-01-12T01:40:50.714Z,Late arrival noted
1118,1118,98,approved,2026-01-15T02:38:06.680Z,Late arrival noted
1119,1119,99,approved,2026-01-13T08:48:56.685Z,
1120,1120,100,rejected,2026-01-16T03:15:08.067Z,Did not complete full shift
1121,1121,101,approved,2026-01-16T12:29:44.225Z,
1122,1122,102,approved,2026-01-15T05:42:03.671Z,
1123,1123,103,approved,2026-01-12T19:24:27.064Z,Late arrival noted
1124,1124,104,approved,2026-01-15T06:13:05.552Z,Excellent performance
1125,1125,105,approved,2026-01-16T06:42:23.856Z,Standard approval
1126,1126,106,pending,,
1127,1127,107,approved,2026-01-16T13:31:25.628Z,Approved by manager
1128,1128,108,approved,2026-01-14T20:06:10.311Z,
1129,1129,7,approved,2026-01-14T23:07:15.396Z,Late arrival noted
1130,1130,8,approved,2026-01-15T05:52:41.722Z,
1131,1131,9,approved,2026-01-12T22:33:28.232Z,
1132,1132,10,pending,,
1133,1133,11,approved,2026-01-16T18:37:34.857Z,Excellent performance
1134,1134,14,approved,2026-01-12T05:17:20.288Z,Late arrival noted
1135,1135,16,pending,,
1136,1136,17,approved,2026-01-16T08:24:39.484Z,Excellent performance
1137,1137,18,rejected,2026-01-15T05:28:15.012Z,Did not complete full shift
1138,1138,20,approved,2026-01-13T19:02:32.385Z,Excellent performance
1139,1139,21,approved,2026-01-16T06:19:36.664Z,Late arrival noted
1140,1140,22,approved,2026-01-13T16:25:57.159Z,Late arrival noted
1141,1141,23,approved,2026-01-12T02:14:15.738Z,Standard approval
1142,1142,24,approved,2026-01-14T12:41:26.926Z,Late arrival noted
1143,1143,25,pending,,
1144,1144,26,approved,2026-01-12T14:06:08.971Z,Excellent performance
1145,1145,27,approved,2026-01-15T21:50:44.990Z,
1146,1146,28,approved,2026-01-14T15:01:12.806Z,Excellent performance
1147,1147,29,approved,2026-01-13T12:33:35.469Z,Late arrival noted
1148,1148,30,approved,2026-01-12T19:02:26.797Z,Late arrival noted
1149,1149,31,approved,2026-01-15T07:14:46.462Z,Excellent performance
1150,1150,32,approved,2026-01-16T13:15:38.503Z,
1151,1151,33,approved,2026-01-14T14:57:48.937Z,Approved by manager
1152,1152,34,approved,2026-01-16T10:11:36.899Z,Approved by manager
1153,1153,35,approved,2026-01-14T21:33:05.380Z,
1154,1154,36,rejected,2026-01-15T05:25:41.726Z,Did not complete full shift
1155,1155,37,approved,2026-01-12T23:29:39.598Z,Excellent performance
1156,1156,38,approved,2026-01-15T14:55:41.389Z,Approved by manager
1157,1157,39,approved,2026-01-15T15:24:04.295Z,Excellent performance
1158,1158,40,approved,2026-01-11T22:17:32.466Z,Approved by manager
1159,1159,41,approved,2026-01-15T10:49:27.525Z,Standard approval
1160,1160,42,approved,2026-01-14T17:23:45.345Z,Approved by manager
1161,1161,43,approved,2026-01-12T21:06:56.879Z,Late arrival noted
1162,1162,44,approved,2026-01-14T09:56:01.593Z,Late arrival noted
1163,1163,45,approved,2026-01-16T02:06:44.068Z,Excellent performance
1164,1164,46,approved,2026-01-16T09:34:05.775Z,Approved by manager
1165,1165,47,approved,2026-01-12T19:53:34.346Z,
1166,1166,48,approved,2026-01-12T21:59:26.786Z,
1167,1167,49,rejected,2026-01-13T21:22:54.714Z,Did not complete full shift
1168,1168,50,approved,2026-01-16T00:30:28.802Z,Approved by manager
1169,1169,51,approved,2026-01-13T14:11:27.026Z,
1170,1170,52,approved,2026-01-13T22:48:26.661Z,Standard approval
1171,1171,53,approved,2026-01-14T22:47:32.345Z,Approved by manager
1172,1172,55,approved,2026-01-14T18:58:11.176Z,Excellent performance
1173,1173,56,approved,2026-01-12T08:59:29.551Z,Standard approval
1174,1174,57,approved,2026-01-12T00:19:59.386Z,Approved by manager
1175,1175,58,rejected,2026-01-15T19:52:41.887Z,Did not complete full shift
1176,1176,59,approved,2026-01-16T04:38:58.976Z,Standard approval
1177,1177,60,pending,,
1178,1178,61,approved,2026-01-13T04:39:15.824Z,
1179,1179,62,rejected,2026-01-14T15:56:42.872Z,Did not complete full shift
1180,1180,64,approved,2026-01-13T09:56:37.285Z,Approved by manager
1181,1181,65,approved,2026-01-14T07:09:55.453Z,
1182,1182,66,approved,2026-01-16T11:48:00.680Z,Approved by manager
1183,1183,67,approved,2026-01-15T14:07:31.432Z,Late arrival noted
1184,1184,68,approved,2026-01-15T18:56:19.076Z,
1185,1185,69,approved,2026-01-11T19:39:46.529Z,
1186,1186,70,approved,2026-01-16T12:57:47.812Z,
1187,1187,71,approved,2026-01-14T05:04:23.533Z,Late arrival noted
1188,1188,72,approved,2026-01-16T06:05:22.700Z,
1189,1189,73,approved,2026-01-15T20:16:16.423Z,Excellent performance
1190,1190,74,approved,2026-01-15T16:35:55.006Z,Excellent performance
1191,1191,75,approved,2026-01-12T09:50:28.252Z,Excellent performance
1192,1192,77,approved,2026-01-14T22:31:13.163Z,Standard approval
1193,1193,78,approved,2026-01-16T12:33:02.199Z,Approved by manager
1194,1194,79,approved,2026-01-13T23:25:56.261Z,Standard approval
1195,1195,80,approved,2026-01-12T07:48:03.659Z,
1196,1196,81,approved,2026-01-15T14:04:57.443Z,
1197,1197,82,approved,2026-01-11T19:30:47.199Z,Late arrival noted
1198,1198,83,approved,2026-01-13T11:38:06.302Z,
1199,1199,84,approved,2026-01-13T09:18:15.413Z,Approved by manager
1200,1200,85,approved,2026-01-15T07:14:38.293Z,Standard approval
1201,1201,86,approved,2026-01-14T09:58:40.217Z,Approved by manager
1202,1202,87,approved,2026-01-13T09:04:34.309Z,Standard approval
1203,1203,89,approved,2026-01-14T18:22:37.921Z,Excellent performance
1204,1204,90,approved,2026-01-14T02:53:25.401Z,Late arrival noted
1205,1205,91,pending,,
1206,1206,92,pending,,
1207,1207,93,pending,,
1208,1208,94,approved,2026-01-12T09:45:29.054Z,Late arrival noted
1209,1209,95,approved,2026-01-12T09:49:32.985Z,Late arrival noted
1210,1210,96,approved,2026-01-14T13:34:23.783Z,Excellent performance
1211,1211,97,approved,2026-01-13T22:14:15.961Z,Excellent performance
1212,1212,98,approved,2026-01-13T21:44:38.287Z,Standard approval
1213,1213,99,approved,2026-01-14T08:31:32.441Z,Excellent performance
1214,1214,100,approved,2026-01-14T22:10:00.158Z,
1215,1215,101,approved,2026-01-13T22:51:35.117Z,
1216,1216,102,approved,2026-01-13T18:07:40.441Z,Approved by manager
1217,1217,103,approved,2026-01-13T09:22:32.851Z,Approved by manager
1218,1218,104,approved,2026-01-12T21:35:25.758Z,Approved by manager
1219,1219,105,approved,2026-01-14T20:45:03.229Z,Late arrival noted
1220,1220,106,rejected,2026-01-16T16:10:19.762Z,Did not complete full shift
1221,1221,107,approved,2026-01-16T11:38:39.636Z,Standard approval
1222,1222,108,approved,2026-01-16T13:48:29.280Z,
1223,1223,7,rejected,2026-01-15T02:37:32.167Z,Did not complete full shift
1224,1224,8,approved,2026-01-12T10:13:24.151Z,Standard approval
1225,1225,9,pending,,
1226,1226,10,approved,2026-01-16T01:18:29.265Z,Excellent performance
1227,1227,11,approved,2026-01-14T13:31:05.230Z,Excellent performance
1228,1228,14,approved,2026-01-15T13:40:26.882Z,Standard approval
1229,1229,16,pending,,
1230,1230,17,approved,2026-01-13T23:53:52.317Z,Late arrival noted
1231,1231,18,approved,2026-01-11T23:58:31.597Z,Approved by manager
1232,1232,20,approved,2026-01-12T18:28:45.981Z,
1233,1233,21,approved,2026-01-16T01:46:51.785Z,
1234,1234,22,approved,2026-01-13T20:19:17.177Z,Late arrival noted
1235,1235,23,approved,2026-01-15T18:06:49.588Z,Late arrival noted
1236,1236,24,approved,2026-01-16T14:33:08.927Z,Standard approval
1237,1237,25,approved,2026-01-12T12:55:01.746Z,
1238,1238,26,approved,2026-01-13T06:06:07.216Z,Late arrival noted
1239,1239,27,pending,,
1240,1240,28,approved,2026-01-13T22:45:49.796Z,Standard approval
1241,1241,29,approved,2026-01-13T10:19:16.216Z,Approved by manager
1242,1242,30,approved,2026-01-15T15:00:09.984Z,Approved by manager
1243,1243,31,approved,2026-01-13T15:27:09.287Z,Excellent performance
1244,1244,32,approved,2026-01-13T03:28:48.301Z,
1245,1245,33,approved,2026-01-16T08:12:48.453Z,Standard approval
1246,1246,34,approved,2026-01-11T20:29:28.207Z,
1247,1247,35,approved,2026-01-12T12:13:18.686Z,Approved by manager
1248,1248,36,pending,,
1249,1249,37,approved,2026-01-16T13:34:20.726Z,Approved by manager
1250,1250,38,approved,2026-01-13T00:07:31.115Z,Standard approval
1251,1251,39,pending,,
1252,1252,40,approved,2026-01-15T19:23:22.394Z,Late arrival noted
1253,1253,41,approved,2026-01-15T12:56:02.172Z,Late arrival noted
1254,1254,42,approved,2026-01-16T01:06:54.516Z,
1255,1255,43,pending,,
1256,1256,44,approved,2026-01-11T21:36:00.269Z,Standard approval
1257,1257,45,approved,2026-01-12T10:54:53.746Z,Approved by manager
1258,1258,46,approved,2026-01-13T04:12:38.501Z,Late arrival noted
1259,1259,47,approved,2026-01-16T17:35:04.863Z,
1260,1260,48,approved,2026-01-12T22:12:19.131Z,Approved by manager
1261,1261,49,pending,,
1262,1262,50,approved,2026-01-15T16:19:26.454Z,Approved by manager
1263,1263,51,approved,2026-01-12T22:52:19.011Z,
1264,1264,52,rejected,2026-01-14T23:03:49.327Z,Did not complete full shift
1265,1265,53,approved,2026-01-11T23:25:42.611Z,Approved by manager
1266,1266,55,approved,2026-01-13T16:33:42.351Z,Excellent performance
1267,1267,56,approved,2026-01-12T02:11:58.665Z,Approved by manager
1268,1268,57,approved,2026-01-15T18:44:19.179Z,Approved by manager
1269,1269,58,approved,2026-01-15T21:21:29.031Z,
1270,1270,59,approved,2026-01-15T17:35:47.980Z,Approved by manager
1271,1271,60,approved,2026-01-15T21:53:58.340Z,Excellent performance
1272,1272,61,approved,2026-01-12T05:47:18.538Z,
1273,1273,62,approved,2026-01-12T12:09:24.835Z,Excellent performance
1274,1274,64,approved,2026-01-14T22:26:13.293Z,
1275,1275,65,approved,2026-01-15T03:38:52.244Z,Late arrival noted
1276,1276,66,rejected,2026-01-16T08:54:37.805Z,Did not complete full shift
1277,1277,67,pending,,
1278,1278,68,approved,2026-01-15T16:07:13.171Z,Excellent performance
1279,1279,69,approved,2026-01-12T20:53:57.643Z,
1280,1280,70,approved,2026-01-15T22:46:55.543Z,
1281,1281,71,approved,2026-01-14T19:14:51.579Z,Approved by manager
1282,1282,72,approved,2026-01-14T04:32:53.608Z,Standard approval
1283,1283,73,pending,,
1284,1284,74,approved,2026-01-13T10:21:47.100Z,Late arrival noted
1285,1285,75,approved,2026-01-16T06:46:54.074Z,
1286,1286,77,approved,2026-01-11T23:29:54.312Z,Approved by manager
1287,1287,78,approved,2026-01-12T10:30:31.542Z,
1288,1288,79,approved,2026-01-15T12:56:00.173Z,Approved by manager
1289,1289,80,approved,2026-01-15T18:04:31.906Z,
1290,1290,81,pending,,
1291,1291,82,approved,2026-01-13T18:34:13.536Z,
1292,1292,83,approved,2026-01-13T02:10:24.873Z,
1293,1293,84,approved,2026-01-14T00:53:10.711Z,Approved by manager
1294,1294,85,approved,2026-01-16T06:46:35.628Z,Standard approval
1295,1295,86,pending,,
1296,1296,87,approved,2026-01-15T23:28:51.959Z,Approved by manager
1297,1297,89,approved,2026-01-14T14:32:13.168Z,Standard approval
